序号, x, y, z, rx, ry, rz, pf_x, pf_y, pf_z 
1,0.3,-0.45,0.45,3.14159265358979,-0.733038286,-1.570796327,-0.96,1.94,-39.59
2,0.282802,-0.480258,0.262796,-3.120858142,-0.711849989,-1.564338609,-0.96,1.94,-39.59
3,0.284555,-0.476512,0.262832,-3.120840689,-0.698131701,-1.564425875,-0.96,1.94,-39.59
4,0.28456,-0.476522,0.257056,-3.120840689,-0.698131701,-1.564425875,-0.96,1.94,-39.59
5,0.28456,-0.476522,0.253938,-3.120858142,-0.711972162,-1.564373515,-0.96,1.94,-39.59
6,0.28456,-0.476521,0.250971,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
7,0.28456,-0.476521,0.248308,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
8,0.28466,-0.476521,0.244991,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
9,0.28466,-0.476521,0.241870 ,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
10,0.28466,-0.476521,0.239787 ,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
11,0.284561,-0.476521,0.228634 ,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
12,0.284561,-0.476521,0.223152 ,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
13,0.284561,-0.476521,0.219773 ,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
14,0.284559,-0.476518,0.216647 ,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
15,0.284559,-0.476518,0.210993 ,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
16,0.284559,-0.476518,0.207550 ,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
17,0.284563,-0.476523,0.201836 ,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
18,0.284563,-0.476523,0.192211 ,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
19,0.284416,-0.476858,0.186908 ,-3.120613796,-0.713316065,-1.564722581,-0.96,1.94,-39.59
20,0.284416,-0.476858,0.186908 ,-3.120613796,-0.713316065,-1.564722581,9,0,-35.5
21,0.284416,-0.476858,0.186908 ,-3.120613796,-0.713316065,-1.564722581,-0.96,1.94,-39.59
22,0.284563,-0.476523,0.192211 ,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
23,0.284563,-0.476523,0.201836 ,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
24,0.284559,-0.476518,0.210993 ,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
25,0.284559,-0.476518,0.216647 ,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
26,0.284561,-0.476521,0.223152 ,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
27,0.28466,-0.476521,0.239787 ,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
28,0.28456,-0.476521,0.248308,-3.120840689,-0.711972162,-1.564390968,-0.96,1.94,-39.59
29,0.28456,-0.476522,0.257056,-3.120840689,-0.698131701,-1.564425875,-0.96,1.94,-39.59
30,0.282802,-0.480258,0.262796,-3.120858142,-0.711849989,-1.564338609,-0.96,1.94,-39.59
31,0.3,-0.45,0.45,3.14159265358979,-0.733038286,-1.570796327,-0.96,1.94,-39.59
