ModbusRTU寄存器地址,,,,
寄存器类型,名称,寄存器地址,数据类型,范围
保持寄存器,X1数值,0x0000,int16_t,-32767~32767
保持寄存器,Y1数值,0x0001,int16_t,-32767~32768
保持寄存器,Z1数值,0x0002,int16_t,-32767~32769
保持寄存器,X2数值,0x0003,int16_t,-32767~32770
保持寄存器,Y2数值,0x0004,int16_t,-32767~32771
保持寄存器,Z2数值,0x0005,int16_t,-32767~32772
保持寄存器,状态寄存器,0x0006,uint16_t,00||01||02||03
保持寄存器,软硬度寄存器,0x0007,uint16_t,0~6000
保持寄存器,位置寄存器,0x0008,uint16_t,0~1000
保持寄存器,电流寄存器,0x0009,uint16_t,0~1400
保持寄存器,速度寄存器,0x000A,int16_t,200~1500
保持寄存器,命令寄存器,0x000B,int16_t,0~1
保持寄存器,解析协议寄存器,0x000C,int16_t,0~1
保持寄存器,设备ID寄存器,0x000D,int16_t,0~255
保持寄存器,控制模式寄存器,0x000E,int16_t,0~1
保持寄存器,随动速度寄存器,0x000F,int16_t,200~1500
保持寄存器,随动位置寄存器,0x0010,int16_t,0~1000
保持寄存器,强制校准寄存器,0x0011,int16_t,0~1
保持寄存器,目标力寄存器,0x0012,int16_t,1~100
保持寄存器,末端硬件清零,0x001D,int16_t,--
保持寄存器,随动状态寄存器,0x001A,int16_t,0~2
保持寄存器,记录零点功能寄存器,0x001F,int16_t,0~3
输入寄存器,保存出厂编号寄存器总数,0x0013,uint16_t,--
输入寄存器,保存出厂编号寄存器1号,0x0014,uint16_t,--
输入寄存器,保存出厂编号寄存器2号,0x0015,uint16_t,--
输入寄存器,保存出厂编号寄存器3号,0x0016,uint16_t,--
输入寄存器,保存出厂编号寄存器4号,0x0017,uint16_t,--
输入寄存器,保存出厂编号寄存器5号,0x0018,uint16_t,--
